,User,User_statuses_count,user_followers,fav_count,User_location,Tweets
0,#NeverOutOfTown,4253,563,0,"Any City, USA",RT @BOAStadiumWx: Bank of America Stadium at sunset and it's 61.5 F. https://t.co/0wIJxrJAkA
1,DEE,22221,2627,0,Virginia! USA,"RT @CIG_KingJames: Dear God, 
Please Save America and the world. Please get rid of the evil  central banking system.
 https://t.co/KmGLvRAO…"
2,BigJayy 😎,126088,2300,0,2️⃣5️⃣2️⃣,RT @El_Liaison: Wonder how electric Bank Of America Stadium will be next sunday when this moment happens.... https://t.co/aZax9X6rSX
3,Always a Trumpster!,92483,3706,0,,"RT @CIG_KingJames: Dear God, 
Please Save America and the world. Please get rid of the evil  central banking system.
 https://t.co/KmGLvRAO…"
4,Whitney Hakim,1818,161,0,,@Injustices4All @rossyrosay @BankofAmerica @offbrandmo I gave up. Ended up getting financing elsewhere. I like bank… https://t.co/TlLDzCIDu9
5,Beth Slogic,204125,1285,0,,"RT @CIG_KingJames: Dear God, 
Please Save America and the world. Please get rid of the evil  central banking system.
 https://t.co/KmGLvRAO…"
6,Bank of America Stadium WeatherSTEM,3738,217,2,"Charlotte, North Carolina",Bank of America Stadium at sunset and it's 61.5 F. https://t.co/0wIJxrJAkA
7,Starfish Prime,8181,212,0,,"RT @CIG_KingJames: Dear God, 
Please Save America and the world. Please get rid of the evil  central banking system.
 https://t.co/KmGLvRAO…"
8,Rightwing🇺🇸Badboy™,100249,2584,0,United States of America ,"RT @CIG_KingJames: Dear God, 
Please Save America and the world. Please get rid of the evil  central banking system.
 https://t.co/KmGLvRAO…"
9,J.T. 👑,160901,8882,1,"Atlanta, GA",I wanna go to Charlotte to see Cam Newton play but Bank Of America Stadium is open air and baby it be bout cold.
10,King James,170194,15253,7,,"Dear God, 
Please Save America and the world. Please get rid of the evil  central banking system.
 https://t.co/KmGLvRAOVl"
11,KTR,251,3,0,"New York, USA","@thehill Most of America wishes there was much MORE interference in the so-called ""Covid Respoinse"", as it was used… https://t.co/hB3OXcpeZd"
12,Doctor Of Credit,46499,24025,1,United States,"[Now Live] Bank of America Preferred Rewards Adds Two New Relationship Tiers, Changes Coming To Existing Tiers https://t.co/sfv4pmfxKd"
13,Salty MacTavish,21637,2610,0,,RT @jay_jdavis: I’ll bet only poor people get charged the Bank of America $12.00 balance inquiry fee.
14,Egabor8 Art,2490,206,0,Nigeria,@garyvee You Blockchain must be loaded more than the bank of America 🤭
15,gretta king,997,123,0,,RT @El_Liaison: Wonder how electric Bank Of America Stadium will be next sunday when this moment happens.... https://t.co/aZax9X6rSX
16,Brian,599,10,0,,"@TheMarinaTimes Apple, Walgreens, CVS, Target, Marshall’s, Ross, Lululemon, Nordstrom rack, Chase , Bank of America… https://t.co/5DvjJEqPKg"
17,BobbiHatesThings,28499,336,0,"Charlotte, NC",RT @wsoctv: Ticket prices and the combined expense for a family to attend a game at Bank of America Stadium increased more than the league…
18,Mario Tenorio,268,15,0,,"I remember clearly DAI said it many times in his YouTube videos that nothing is done without JP Morgan, Bank Of Ame… https://t.co/bUecevPr4i"
19,Benjamin E. Hardisty,67378,913,0,"Salt Lake City, UT","RT @USMarshalsHQ: One of America’s Most Wanted Fugitives Identified After 52 Years. Mystery solved of Ted Conrad, who pulled off one of the…"
20,Nathaniel Bush,17909,249,0,"Des Moines, Iowa","I'm at Bank of America in Des Moines, IA https://t.co/iDKmSIQl9s"
21,Alexandre Torres,19217,70,0,"Belo Horizonte, Brasil","RT @govbrazil: BNDES, Brazil’s major development bank, invested around R$ 200 million in sustainable development in the last 10 years, prev…"
22,Cam Newton is QB1,25325,813,0,IG : Ahndrizzle. ,RT @El_Liaison: Wonder how electric Bank Of America Stadium will be next sunday when this moment happens.... https://t.co/aZax9X6rSX
23,Luke Blanchford,266,20,0,"Georgia, USA","... and no one has ever accused Vang Pao of having swiss bank accounts. Indeed, he appears as a sort of footnote in… https://t.co/vCJBukmgMz"
24,MLPan,688,12,0,,"RT @tezos: According to recent data, #Tezos has the second most developer interest in the industry.

Tezos is seeing explosive growth in ad…"
25,em,9677,237,0,she/her,what is newt doing in a bank of america ad 😭 https://t.co/Fpy9bhuwEG
26,Pawan,81,54,0,,RT @AdithiaKusno: “[I]t takes inflows of just $93 million to move Bitcoin’s price by 1% ... at least $2 billion worth of inflows to move th…
27,Lynne Burke,55354,344,0,"Campbell, CA","Neither of #BidensNominees, #GigiSohn or #SauleOmarova (whose thesis is Marxist) have the slightest clue about the… https://t.co/7iJkLOf3ci"
28,José Nascimento,119291,1211,0,,"RT @govbrazil: BNDES, Brazil’s major development bank, invested around R$ 200 million in sustainable development in the last 10 years, prev…"
29,"Nat M. Zorach, AICP 🚲",41417,2072,0,Detroit & DC,"""Excluding dividends, Bank of America's model shows 0% returns for the S&amp;P 500 over the next 10 years.""

https://t.co/SmqxTLtrri"
30,Her Honorable Rev. Girl Named War PHD (kinda),5137,62,0,,"@realTuckFrumper So....how soon before she capitalizes on this with book deals, movie about the books deals?  

Ame… https://t.co/zT7V1slLaz"
31,QuarterBlack Stan,352816,1387,0,Carolina Blue Sky,RT @wsoctv: Ticket prices and the combined expense for a family to attend a game at Bank of America Stadium increased more than the league…
32,Bob Rymell,200287,687,0,Asheville NC,RT @wsoctv: Ticket prices and the combined expense for a family to attend a game at Bank of America Stadium increased more than the league…
33,💙🍻💙 𝓐𝓷𝓰𝓲𝓮💙🍻💙,62008,2492,0,"In the kitchen, NC ",RT @wsoctv: Ticket prices and the combined expense for a family to attend a game at Bank of America Stadium increased more than the league…
34,WSOCTV,283026,275142,11,"Charlotte, NC",Ticket prices and the combined expense for a family to attend a game at Bank of America Stadium increased more than… https://t.co/8P0jbUpegQ
35,Maria Fatima Maia,14891,85,0,"Rio de Janeiro, Brasil","RT @govbrazil: BNDES, Brazil’s major development bank, invested around R$ 200 million in sustainable development in the last 10 years, prev…"
36,Nova ✨🏳‍🌈,9109,547,0,,"RT @NomeDaBarbarian: It's getting to be the season again, so to be clear - Feeding America (or your local food bank, often they're affiliat…"
37,JackieUSASTRONG,18923,11141,0,"Charlotte, NC",@Panthers Amazing.... can't wait for Cams return to Bank of America.... #KeepPounding
38,Molly Bowes,10586,364,0,"Los Angeles, CA",Bank of America seems like hell on earth. Why is there always a line wrapped around the building when I drive by?… https://t.co/9dJGUmtOKL
39,Kirk 🇬🇭,27163,1578,3,Wherever God Takes Me,"Those who got Bank of America, pls take advantage of the cash back deals especially with the holidays coming"
40,John,27691,537,0,"Lexington, KY",RT @ActivistPost: America's largest food bank struggles to feed people amid a perfect storm of surging food prices and supply chain woes.…
41,Kathy Nixon,59,0,0,,Bank of America you fraudulent thieving assholes as long as I am in the banking system industry informing other Ban… https://t.co/SNSIWJqAQn
42,Angel Iulian Popescu,979,135,0,"Bucharest, Romania",RT @ActivistPost: America's largest food bank struggles to feed people amid a perfect storm of surging food prices and supply chain woes.…
43,45 is food,24548,219,0,"Nevada, USA","RT @MarketWatch: The price of a 15-pound turkey has almost doubled in the past three years, a chart from Bank of America shows.

https://t.…"
44,Tiffin Club and Rec and Intramurals,140,192,3,,"TU Club Flag Football in downtown Charlotte, NC!  Checking out Bank of America Stadium and The Spectrum Center befo… https://t.co/FSpNjvOCvB"
45,Kathy Nixon,59,0,0,,Bank of America people pay attention this banking Institution is fraudulent and thieves as long as you portray me a… https://t.co/XkKHSc0W6f
46,Activist Post,139146,40885,1,The Blacklist,America's largest food bank struggles to feed people amid a perfect storm of surging food prices and supply chain w… https://t.co/5mGPQmynFn
47,Libby Corpuz,7996,48,0,"Utah, USA","The Amalgamated Bank that's the largest Union Bank, SEIU in the country Bank of America, Citibank, JPMorgan Chase,… https://t.co/yEwuQevdJG"
48,Kathy Nixon,59,0,0,,Bank of America you see that shit works both ways everyday that you have ME in your computer system as a fraudulent… https://t.co/vmhHSTd9xl
49,Big Facts,5412,56,0,,RT @El_Liaison: Wonder how electric Bank Of America Stadium will be next sunday when this moment happens.... https://t.co/aZax9X6rSX
50,Kathy Nixon,59,0,0,,Bank of America you thieving fraudulent assholes. Just like every day I'm in your banking system and you're telling… https://t.co/VG2DkGNHsc
51,Care Economy/Climate Bill is Paid For Taxing Rich!,115945,2229,0,,"Rainville sends telegram in Dirksen's name to Judge Edward McLean, requesting delay of decision in case involving C… https://t.co/FHWWoma6QH"
52,Kathy Nixon,59,0,0,,Bank of America you fraudulent thieving assholes as long as you have me in the system as a fraudulent check passer… https://t.co/UMFLNBgZPT
53,Ask Warren HQ,94358,35748,0,Read disclaimer at:,"$BIEL to detail new revolving credit line from Bank of America
https://t.co/Mv3xmUrTi2

$VEEV $LH $GTLL $DATA $SCEpG $AKR $FLIR"
54,Kathy Nixon,59,0,0,,"Bank of America you fraudulent, THIEVING assholes, every day that I am in your banking system flagged as a fraudule… https://t.co/DKV8ar31YR"
55,Kathy Nixon,59,0,0,,"People Bank of America is a FRAUDULENT, THIEVING INSTITUTION, and Bank of America as long as you have me in your co… https://t.co/q8BemH0qPQ"
56,Adithia Kusno ☦️🐂🚀💎🙌🎯,3870,3285,0,United States,RT @AdithiaKusno: “[I]t takes inflows of just $93 million to move Bitcoin’s price by 1% ... at least $2 billion worth of inflows to move th…
57,E-NO-U-gh of yoUr ABU$E,5495,5,0,,"RT @350NH: ACTION ALERT! Join Extinction Rebellion in Keene, New Hampshire to protest Bank of America's continued investments in the Line 3…"
58,STOMPShorts,808,372,0,InterMarkets,"@SenWarren No surprise!!! Bank of America Has Been Illegally Shorting AMC Stock. 

Lots of Illegally nakedshorting… https://t.co/OCol9n5lTi"
59,marty.com,41923,7821,0,San Francisco,@dnbrv Does anyone have just one bank? My primary bank is actually Bank of America. None of the neo/challenger bank… https://t.co/oWxW0oaknS
60,Meryl,672,455,0,Brooklyn,@ditzikow @BankofAmerica I feel like this is a Bank of America issue. I haven't had any of these issues with Chase FYI!
61,Russell Atkins,899,266,0,"Portland, OR",At the bank praying they wave the fees to start a account Bank of America Got 54.00
62,JMO shut up and just watch sports,27811,345,0,South Central ,"Never knew as I’ve been talking back and forth with her on here awhile @mariahcrose 
I remember taking a pic with… https://t.co/YVrR4yFc8s"
63,Abolish Blue Contacts,213468,583,0,"Brooklyn, NY",Why would Bank of America send me a cheek for $.91 that’s a waste of paper they could’ve kept that 😑
64,Koji ⚡,1392,332,2,,"$POLX will 10x very, very soon.

- Partnered with $MATIC and $LINK

- $18 million market cap

- Experienced employe… https://t.co/QfatpwGb64"
65,Mike KIM,9200,44,0,Republic of Korea,"RT @AviationWeek: If airlines were asked to say in three words whether Boeing should launch a new narrowbody aircraft, the answer would be:…"
66,luke.K,416,13,0,,RT @AdithiaKusno: “[I]t takes inflows of just $93 million to move Bitcoin’s price by 1% ... at least $2 billion worth of inflows to move th…
67,Biedex Markets,365002,4050,0,"London, England","FTCH Stock: 6 Things to Know About the Deal That Has BofA Feeling Bullish About Farfetch
Farfetch (NYSE:FTCH) stock… https://t.co/HWwjYFi0bo"
68,A,60,0,0,"England, United Kingdom",@PresidentBodhi @seteXRP @Davotheslayer72 @UniverseTwenty 3- over 300 of the world's financial institutions have bo… https://t.co/E7Td6t8huW
69,GALACTIC,1251,63,0,,RT @AdithiaKusno: “[I]t takes inflows of just $93 million to move Bitcoin’s price by 1% ... at least $2 billion worth of inflows to move th…
70,#forever18 🕊,38938,1918,0,,why do bank of america keep sending me mail about a prepaid debit card i don’t have?? 🤔
71,karla,12781,30466,3,,my bank of america account got 6 figures lol
72,The Market Dog ™️,43699,8499,0,"Nice, France",RT @AdithiaKusno: “[I]t takes inflows of just $93 million to move Bitcoin’s price by 1% ... at least $2 billion worth of inflows to move th…
73,Brandon,37253,127,0,,RT @El_Liaison: Wonder how electric Bank Of America Stadium will be next sunday when this moment happens.... https://t.co/aZax9X6rSX
74,Perro 🇺🇸,1629,327,0,NorthernPlains,"BoA, Lowes, Amex, United Way go full woke.  

Nice...

watch the video 

https://t.co/Cq5IFj6foh"
75,"smol but mighty (🐰, 🐰)",613,12,1,,@AutisticNFTs @nftfreaks Did they fight back? I’m preparing to have this convo with Bank of America
76,Perfect My Essay,65716,122,0,"Massachusetts, USA",Bank of America Bank of America. Answer the following questions in the assignments detailed below. a) What are the… https://t.co/tawkcuX2vO
77,KLW World News,17903,738,0,Global,RT @alanhenney: ROBBERY/ ASSAULT/ MANHUNT--- Bank of America at 915 Rhode Island Ave NE-DC in Brentwood. Person assaulted and injured durin…
78,Abolish Blue Contacts,213468,583,0,"Brooklyn, NY",Got rid of Bank of America’s ole debt collecting ass finally
79,JSAHolmes Scottish-Cherokee,118376,2306,0,GA- Hav Feelin We R Bn Watchd?,RT @rodcoffman: @JSAHolmes @JoshofDCx @mcfunny @CoolJewel_5 @swedishchf @microRNApro @KayVonPaul @MdRisette @Rich2Al @WendyOrent @thatsnotm…
80,QuarterBlack Stan,352816,1387,0,Carolina Blue Sky,RT @El_Liaison: Wonder how electric Bank Of America Stadium will be next sunday when this moment happens.... https://t.co/aZax9X6rSX
81,Rod Coffman,5204,527,1,,@JSAHolmes @JoshofDCx @mcfunny @CoolJewel_5 @swedishchf @microRNApro @KayVonPaul @MdRisette @Rich2Al @WendyOrent… https://t.co/p3s4mgDISR
82,👑Laryah💜D📝,16592,594,0,9Dime...919....soon to be 704 ,RT @El_Liaison: Wonder how electric Bank Of America Stadium will be next sunday when this moment happens.... https://t.co/aZax9X6rSX
83,samantha,47250,450,0,,not bank of america playing all too well the 10 min version
84,Lars Hanon,249402,97,0,,brown bag lunch of Bank of america and the blue ribbon commission report on the killing of black youths on the streets of America
85,Alan Henney,12271,18929,2,"Wash, D.C./Rehoboth Beach, Del",ROBBERY/ ASSAULT/ MANHUNT--- Bank of America at 915 Rhode Island Ave NE-DC in Brentwood. Person assaulted and injur… https://t.co/dKfYYQ9wSa
86,betty vaughan,21557,130,0,litchfield,@adriangrenier @BankofAmerica No thank you. Bank of America is the problem not the solution.
87,M Saeed Rahman,3520,436,1,,$VIAC  Barron’s articles will make short cover at the speed of light.Stupid Keybank analyst will have to wake up an… https://t.co/hn8Y5TQ1t3
88,0,26764,304,0,Singapore,RT @DefiMoon: Chase telling young parents to park their cash in the bank so they can lose purchasing power due to high inflation &amp; scam int…
89,BW_the 5ⓣh.Sniper,5303,345,0,Protonia,RT @DefiMoon: Chase telling young parents to park their cash in the bank so they can lose purchasing power due to high inflation &amp; scam int…
90,Shawn,8637,188,0,"Massachusetts, USA",@DanVanDam bank of america sucks for there fees
91,MRSBRADPITT!,386,2,0,"RoyalMonaco,Kingdom of Royal B","@BankofAmerica 

Bank of America News
@BofA_News
J.P. Morgan
@jpmorgan
Wells Fargo
@WellsFargo
Show more

blacks us… https://t.co/Rk2D7INC5g"
92,Nuhuh29,716,56,0,Mary Walker,RT @jay_jdavis: I’ll bet only poor people get charged the Bank of America $12.00 balance inquiry fee.
93,Mark,163404,352,0,,RT @USRealityCheck: In One Chart: A Thanksgiving turkey is going to cost you more this year than at any time this century: This chart from…
94,Jack,138415,7290,0,"Chicago, IL",RT @jay_jdavis: I’ll bet only poor people get charged the Bank of America $12.00 balance inquiry fee.
95,Galo Mejía,12105,60,0,,@Reuters He also needs to acknowledge his support of genocide socialist governments in Latin America. He needs to s… https://t.co/gmemXMZiQ7
96,Sridhar Venkatapuram PhD FRSA (Hon)FFPH,16626,4564,0,"Roots in India, USA, SA, UK",RT @fibke: 75% of reported COVID-19 fatalities globally are currently from two World Bank regions: Europe &amp; Central Asia (ECA) and North Am…
97,convex-maxi,4168,465,0,Paris,RT @DefiMoon: Chase telling young parents to park their cash in the bank so they can lose purchasing power due to high inflation &amp; scam int…
98,City National Bank Careers,53,427,0,CA | NY | NV | TN | GA | MN | D.C.,We take personal ownership for achieving the bank’s mission of becoming the most recommended financial provider in… https://t.co/aYxm4EbaVZ
99,The Internet Party,11458,148,0,Philadelphia PA,#politics #government In One Chart: A Thanksgiving turkey is going to cost you more this year than at any time this… https://t.co/iCNfa9OIxS
100,Adithia Kusno ☦️🐂🚀💎🙌🎯,3870,3285,8,United States,“[I]t takes inflows of just $93 million to move Bitcoin’s price by 1% ... at least $2 billion worth of inflows to m… https://t.co/zaLPy5760t
101,DefiMoon 🦇🔊,7854,8257,21,Moon,Chase telling young parents to park their cash in the bank so they can lose purchasing power due to high inflation… https://t.co/LGCdhXUmsi
102,Kathy Nixon,59,0,0,,Bank of America I'm bringing the police with me just because your institution does not mean you are above the law I… https://t.co/Z57Kq9xaPr
103,"conscientious objector:seattle7, me+ 6 other guys",46325,871,0,north america,"RT @MarketWatch: The price of a 15-pound turkey has almost doubled in the past three years, a chart from Bank of America shows.

https://t.…"
104,Top U.S. & World News🗽,710444,79176,1,USA,In One Chart: A Thanksgiving turkey is going to cost you more this year than at any time this century: This chart f… https://t.co/NnOu8r8Fz6
105,Chau Vo,1057,28,0,"Portland, OR","RT @FISKERWHALE: Fisker sets up to close the gap in valuations according to Bank of America where a huge discrepancy is seen

FSR 6.3B $21+…"
106,ariel,3645,215,0,she/her,@BankofAmerica is that my bf on a bank of america ad?? 😅😱
107,Dave the FiskerWhale,1926,1320,8,"Orlando, FL","Fisker sets up to close the gap in valuations according to Bank of America where a huge discrepancy is seen

FSR 6.… https://t.co/FauhXPQ5M3"
108,Kathy Nixon,59,0,0,,Bank of America I will continue literally continue to send out information from my experience with you. The differe… https://t.co/MkkHCZU9rh
109,Kathy Nixon,59,0,0,,"Bank of America I will continue to inform America of your FRAUDULENT,  THIEVING ACTIVITIES just as you have put me… https://t.co/BWfe4tMst3"
110,BrasilCerto,8300,530,0,,"RT @govbrazil: BNDES, Brazil’s major development bank, invested around R$ 200 million in sustainable development in the last 10 years, prev…"
111,Kathy Nixon,59,0,0,,Bank of America ARE  FRAUDULENT  THIEVES since I can't afford to put a billboard up letting people know I am tellin… https://t.co/UilAer5Uhy
112,Susan APRIL Steinkoenig,18471,671,0,"San Francisco, CA",Parc 55 Hilton Hotel San Francisco 100 block Mason St./Eddy St./Ellis St./Cyril Magnin St. Next to Powell Street tr… https://t.co/msMAJeKF6W
113,Shawnny,2464,116,0,,I fucking hate Bank of America.
114,WBZ NewsRadio,177474,45631,0,Boston,One Of America's Most Wanted Bank Robbers Is Identified In Lynnfield https://t.co/xma2A9VTsX
115,Marie Wilson,7293,119,0,,The right wing in America wastes their lives being useful puppets on behalf of an ever increasingly insidious manip… https://t.co/n6f2knaiSA
116,"MIA: Decorative Arts, Textiles and Sculpture (Bot)",8459,3535,0,"Minneapolis, MN","Girard Model Works, Inc., ""Bank of America Cash Drawer (registering)"" still bank, 20th century… https://t.co/OwDg55YVmk"
117,GreenNewDeal,55634,2047,0,,"RT @IndLeftNews: New video by @NaysGarden  @NaysGardenShow: Bank of America goes KOO KOO for CRYPTO! https://t.co/TPkO721zK1
❤️/share/follo…"
118,Kathy Nixon,59,0,0,,Bank of America is a FRAUDULENT Institution if you have an account there and you are a person of color run and get… https://t.co/aZsRMH8tSN
119,Bank of America Help,903252,126939,0,https://bit.ly/2U2HFX9,@aletamosquito Hi. We're very sorry to hear this and would like to see how we can help. If you happen to have any q… https://t.co/zdzjzvSJvX
120,Christopher J. Berry,10675,2717,0,"Brighton, MI","Funding for a carbon-free economy is infinite if there’s a revenue stream, says Bank of America’s Brian Moynihan.… https://t.co/tiAGvZKWye"
121,Kathy Nixon,59,0,0,,Bank of America stole thousands of dollars from me when I took my check into their Institution and opened up an acc… https://t.co/ozEkZ1cM5B
122,Kathy Nixon,59,0,0,,Bank of America has racially profiled me literally stole thousands of dollars from me now that I'm speaking up they… https://t.co/t8nfoJkdGA
123,Kathy Nixon,59,0,0,,"Bank of America is a FRAUDULENT, THIEVING Institution that racial profile people of color and then if you have a ch… https://t.co/pV2WTrNFCT"
124,Kathy Nixon,59,0,0,,Bank of America stole thousands of dollars from me literally now they want to put me in a banking system as a fraud… https://t.co/0tyfz4q3ff
125,Kathy Nixon,59,0,0,,Bank of America think that they can get away with putting you into banking system as a fraudulent check carrier whe… https://t.co/jgvWkrhaiV
126,Kathy Nixon,59,0,0,,People Bank of America is nothing other than a Prejudice Institution and an organized crime banking Institution run… https://t.co/H2MKWbVmwh
127,RickWu,38808,10177,0,The Corn Hole,RT @jay_jdavis: I’ll bet only poor people get charged the Bank of America $12.00 balance inquiry fee.
128,Really? I'm gobsmacked,42499,2041,0,Pacific NW,"RT @USMarshalsHQ: One of America’s Most Wanted Fugitives Identified After 52 Years. Mystery solved of Ted Conrad, who pulled off one of the…"
129,IndependentLeft.news & Leftists.today,28899,2777,1,,"New video by @NaysGarden  @NaysGardenShow: Bank of America goes KOO KOO for CRYPTO! https://t.co/TPkO721zK1
❤️/shar… https://t.co/EtOvHiNz8G"
130,.,43020,781,0,"Atlanta, GA",Bank of America got me fucked up
131,Tom B. Taker 🧊,152030,3425,0,"Shouts from the Abyss, #PDX OR","Just saw two female popo rousting riff raff from the Bank of America ATM antechamber. Too bad, because I was gonna… https://t.co/rI7MYtCKrL"
132,TexasTruther33,155,22,0,,"@hrkbenowen If a burglar is in my house,  im calling the police not BLM ... 
Bc they would join the burglar and ste… https://t.co/dhqwbYWyd5"
133,Nathan Dill,38,3,0,,@EriMRdgz Like I said before the Bank of America stadium is in Charlotte North Carolina
134,TeslaJoe,19026,564,0,"ÜT: 40.522688,-74.661111",@teslafsdbeta Bank of America does - would bug me if I could not just copy it for transfers.  Guess you could alway… https://t.co/YBvQot07To
135,Nathan Dill,38,3,0,,@EriMRdgz Because the Bank of America stadium is in charlotte NC! ( NORTH Carolina)
136,Regional Outreach Bureau TN&Puducherry,42063,1507,0,Chennai,RT @pibchennai: Global Supply chains should not only be based only on cost but also on trust. Trade must grow in a mutually beneficial and…
137,Shawn Farner,385,28,0,"Houston, TX",Whoever designed the new Twitter sign-up experience should go work for Bank of America instead.
138,biology stan acc,193928,1163,0,,RT @prettyboiitom: @BankofAmerica yo why my man ain’t tell me he did an ad for bank of america…he look realll good tho https://t.co/FZAUEmr…
139,Bharat Adarkar,868,46,0,"Pune, India","Chase, Wells Fargo, Bank of America, and Citibank customers! Are you tired of your money being used to invest in th… https://t.co/mnDC2qPBLw"
140,19keys,152,1,0,"California, USA",RT @Blockworks_: JUST IN: Bank of America COO says that offering loans against crypto assets could be a possibility in the future https://t…
141,Isaac Cook,5957,375,0,,RT @El_Liaison: Wonder how electric Bank Of America Stadium will be next sunday when this moment happens.... https://t.co/aZax9X6rSX
142,Johnny42 ☘☘☘,3069,38,0,"Phoenix, AZ🇺🇲🇺🇸🇺🇲",@BankofAmerica @Jenisplendid @jenisicecreams Bank of America will turn you in for a pat on the head.
143,Bet In Crypto,9351,257,0,,"Bank of America Survey: ‘Long Bitcoin’ Is Most Crowded Trade, 75% of Fund Managers See BTC as Bubble

Toplist Crypt… https://t.co/XPffDaALHy"
144,b. maat,109245,843,2,,@patriciamdavis @joebev49 corporate america and american govt are now wedded at the hip in their own version of the… https://t.co/i9bH2wK6Ug
145,StixO,64793,471,0,I.E. Cali ,RT @El_Liaison: Wonder how electric Bank Of America Stadium will be next sunday when this moment happens.... https://t.co/aZax9X6rSX
146,Nkembe Etoupe Jean Albert,16074,331,0,"Littoral, Cameroon",RT @Forbes: Bank of America analyst Robert Ohmes reported that birth rates are rising and 13% more pregnancy tests are being sold compared…
147,Glizzy Goddess Gang.,285970,1417,0,"West Oak Lane, Philadelphia",On my momma Bank of America got me fucked up yo
148,Romain Dion,50772,2771,0,France,"RT @MarketWatch: The price of a 15-pound turkey has almost doubled in the past three years, a chart from Bank of America shows.

https://t.…"
149,Ace Boogie Revenge Tour,8009,288,0,,RT @El_Liaison: Wonder how electric Bank Of America Stadium will be next sunday when this moment happens.... https://t.co/aZax9X6rSX
150,Jeff Albrecht,37688,666,0,Mesa,"@RadioFreeTom Bank of America on Sherman Way in Canoga park intersection with Topanga Canyon blvd.
 
Red vw type 3 Squareback"
151,H,44904,1938,0,,RT @Forbes: Bank of America analyst Robert Ohmes reported that birth rates are rising and 13% more pregnancy tests are being sold compared…
152,𝐵𝑖𝑔 𝑉𝑖𝑐𝑘 𝐸𝑛𝑒𝑟𝑔𝑦⚡️,45238,692,0,parts unknown,RT @El_Liaison: Wonder how electric Bank Of America Stadium will be next sunday when this moment happens.... https://t.co/aZax9X6rSX
153,#rememberJan6,188574,34508,0,,RT @Captain_ObVeus: @DeplorableChoir Again there was a 5 mile long line of thousands of cars for a food bank in Dallas Texas this weekend.…
154,Roland The Headless Thompson Twin,4641,150,0,,RT @jay_jdavis: I’ll bet only poor people get charged the Bank of America $12.00 balance inquiry fee.
155,WORLD,4932,30,0,,RT @Forbes: Bank of America analyst Robert Ohmes reported that birth rates are rising and 13% more pregnancy tests are being sold compared…
156,The Moorings,10558,571,0,"Indianapolis, Indiana",RT @NewfieldsToday: Un-brr-lievable! Tickets for Winterlights presented by Bank of America are selling fast. Don't miss your chance to expe…
157,ChéLa,20231,1209,2,always in production,How is Roses on Portsmouth Blvd still open but Bank of America is not? 😂. Cuz the grandmas run this side of town an… https://t.co/ue38OVW9GH
158,💎 Anthony N Carrillo 🌟,77644,886,0,🇻🇦🇲🇽🇺🇸🇪🇪🇪🇺,RT @Forbes: Bank of America analyst Robert Ohmes reported that birth rates are rising and 13% more pregnancy tests are being sold compared…
159,Ana B. Gutierrez,40959,884,0,El Mundo,RT @Forbes: Bank of America analyst Robert Ohmes reported that birth rates are rising and 13% more pregnancy tests are being sold compared…
160,Bank of America Help,903252,126939,0,https://bit.ly/2U2HFX9,"@thernandez_pr Hi there, we're very sorry to hear this and would like to see how we can help. If you happen to have… https://t.co/PeVuJOxkLk"
161,Mal,4806,136,0,"Fort Lauderdale, FL",@JayRRogers @justbrestill Bank of America.
162,🕉💭 🔯 🌟 🇮🇳,368372,877,0,Mumbai🇮🇳,RT @Forbes: Bank of America analyst Robert Ohmes reported that birth rates are rising and 13% more pregnancy tests are being sold compared…
163,GIVEN DLUDLU,4823,357,0,Anfield ,RT @Forbes: Bank of America analyst Robert Ohmes reported that birth rates are rising and 13% more pregnancy tests are being sold compared…
164,THE WHITE DIAMOND,2216,16,0,India,RT @Forbes: Bank of America analyst Robert Ohmes reported that birth rates are rising and 13% more pregnancy tests are being sold compared…
165,Renee Shatanoff,736228,2816,0,,RT @Forbes: Bank of America analyst Robert Ohmes reported that birth rates are rising and 13% more pregnancy tests are being sold compared…
166,Scorchedmirth,28679,656,0,"Ontario, Canada",RT @jay_jdavis: I’ll bet only poor people get charged the Bank of America $12.00 balance inquiry fee.
167,#ComunismoÉCrime,3315,13,0,,"RT @govbrazil: BNDES, Brazil’s major development bank, invested around R$ 200 million in sustainable development in the last 10 years, prev…"
168,"Stu, For Real",161342,7146,0, impulsive twitter,RT @jay_jdavis: I’ll bet only poor people get charged the Bank of America $12.00 balance inquiry fee.
169,Forbes,336075,17214244,54,"New York, NY",Bank of America analyst Robert Ohmes reported that birth rates are rising and 13% more pregnancy tests are being so… https://t.co/mkwfffPpEW
170,Marcus Smith,3702,337,156,Sparkle City,Wonder how electric Bank Of America Stadium will be next sunday when this moment happens.... https://t.co/aZax9X6rSX
171,WarriorRanch,587,78,0,"New York, USA","Wow, our warmest THANKS go to Pink Tie, NorthFork Gateway at Ridge, TiedIn, Tied in America,  Dime Community Bank,… https://t.co/Eok5kbjoW1"
172,ポップキャンディークッキー!! 〜,89,94,1,ㅤㅤㅤㅤㅤㅤㅤ私たちのファンに、私たちはあなたを愛しています,/ bank of america rp account?? https://t.co/SufQPwIMlZ
173,Quigley.eth 👾,96344,35799,0,United States 🇺🇲,RT @NoKapRich: I’m literally about to physically combust in Bank of America.
174,Sharkbait 🦈,724,7,2,,Bank of America got $200-$300 in fees from me in 2014 but now that the class action has settled I’ve been paid out… https://t.co/4S8QGCvtBA
